transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2025-03-31,IBM,"LIVERIS, ANDREW N",Director,Promised Fee Share,A,393.0,248.66
2025-03-31,IBM,"MCNABB, FREDERICK WILLIAM III",Director,Promised Fee Share,A,367.0,248.66
2025-03-31,IBM,"MIEBACH, MICHAEL",Director,Promised Fee Share,A,367.0,248.66
2025-03-31,IBM,"POLLACK, MARTHA E",Director,Promised Fee Share,A,232.0,248.66
2025-03-31,IBM,"VOSER, PETER R.",Director,Promised Fee Share,A,403.0,248.66
2025-03-31,IBM,"WADDELL, FREDERICK H",Director,Promised Fee Share,A,393.0,248.66
2025-03-31,IBM,"ZOLLAR, ALFRED W",Director,Promised Fee Share,A,367.0,248.66
2025-03-31,IBM,"BUBERL, THOMAS",Director,Promised Fee Share,A,367.0,248.66
2025-03-31,IBM,"FARR, DAVID N",Director,Promised Fee Share,A,232.0,248.66
2025-03-31,IBM,"HOWARD, MICHELLE J",Director,Promised Fee Share,A,331.0,248.66
2025-03-31,IBM,"GORSKY, ALEX",Director,Promised Fee Share,A,433.0,248.66
2025-03-31,IBM,"BROWN, MARIANNE CATHERINE",Director,Promised Fee Share,A,367.0,248.66
2025-03-06,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,400.0,0.0
2025-03-03,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,D,26543.0,253.0098
2025-02-28,IBM,"FARR, DAVID N",Director,Common Stock,A,1200.0,249.0
2025-02-21,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,A,2666.0,0.0
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Rst. Stock Unit,D,2722.0,0.0
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Rst. Stock Unit,D,2612.0,0.0
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,3380.0,0.0
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,1694.0,262.925
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,3575.0,0.0
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,1792.0,262.925
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Rst. Stock Unit,D,5613.0,0.0
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,D,1242.0,262.925
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,2245.0,0.0
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,D,1445.0,262.925
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,2612.0,0.0
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,D,1506.0,262.925
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,2722.0,0.0
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Rst. Stock Unit,D,631.0,0.0
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Rst. Stock Unit,D,541.0,0.0
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,225.0,262.925
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,A,631.0,0.0
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,193.0,262.925
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,A,541.0,0.0
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,3575.0,0.0
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,1442.0,262.925
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,2877.0,0.0
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Rst. Stock Unit,D,6123.0,0.0
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Rst. Stock Unit,D,5163.0,0.0
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Common Stock,D,2813.0,262.925
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Common Stock,A,5613.0,0.0
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Common Stock,D,3069.0,262.925
2025-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,1600.0,0.0
2025-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,1738.0,0.0
2025-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,1051.0,0.0
2025-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,817.0,262.925
2025-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,1600.0,0.0
2025-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,888.0,262.925
2025-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,1738.0,0.0
2025-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,537.0,262.925
2025-02-21,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Rst. Stock Unit,D,2666.0,0.0
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Rst. Stock Unit,D,2245.0,0.0
2025-02-21,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,A,2628.0,0.0
2025-02-21,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,D,1327.0,262.925
2025-02-21,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,A,3116.0,0.0
2025-02-21,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,D,1575.0,262.925
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Rst. Stock Unit,D,394.0,0.0
2025-02-21,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,D,1349.0,262.925
2025-02-21,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Rst. Stock Unit,D,2628.0,0.0
2025-02-21,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Rst. Stock Unit,D,3116.0,0.0
2025-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,1051.0,0.0
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Common Stock,A,5163.0,0.0
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Common Stock,D,2584.0,262.925
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Common Stock,A,6123.0,0.0
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,3380.0,0.0
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,2877.0,0.0
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,A,394.0,0.0
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,141.0,262.925
2025-02-18,IBM,"COHN, GARY D",Vice Chairman,Emp. Stock Option (right to buy),A,37160.0,0.0
2025-02-18,IBM,"COHN, GARY D",Vice Chairman,Rst. Stock Unit,A,9290.0,0.0
2025-02-18,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Rst. Stock Unit,A,10197.0,0.0
2025-02-18,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Emp. Stock Option (right to buy),A,40786.0,0.0
2025-02-18,IBM,"ROBINSON, ANNE",Senior Vice President,Rst. Stock Unit,A,6889.0,0.0
2025-02-18,IBM,"ROBINSON, ANNE",Senior Vice President,Emp. Stock Option (right to buy),A,27553.0,0.0
2025-02-18,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,A,6345.0,0.0
2025-02-18,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Emp. Stock Option (right to buy),A,25378.0,0.0
2025-02-18,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,A,10877.0,0.0
2025-02-18,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Emp. Stock Option (right to buy),A,43505.0,0.0
2025-02-18,IBM,"FEHRING, NICOLAS A.","VP, Controller",Rst. Stock Unit,A,2787.0,0.0
2025-02-18,IBM,"FEHRING, NICOLAS A.","VP, Controller",Emp. Stock Option (right to buy),A,7432.0,0.0
2025-02-18,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,A,22659.0,0.0
2025-02-18,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Emp. Stock Option (right to buy),A,90634.0,0.0
2025-02-11,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,D,7423.0,253.705
2025-02-11,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,A,14714.0,0.0
2025-02-11,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Rst. Stock Unit,D,14714.0,0.0
2025-02-10,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,68.0,0.0
2025-02-10,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Phantom Stock Unit,A,1.0,0.0
2025-02-10,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Phantom Stock Unit,A,129.0,0.0
2025-02-01,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,57626.0,0.0
2025-02-01,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,5446.0,254.555
2025-02-01,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,11735.0,0.0
2025-02-01,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,7496.0,254.555
2025-02-01,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,14683.0,0.0
2025-02-01,IBM,"ROBINSON, ANNE",Senior Vice President,Common Stock,D,1100.0,254.555
2025-02-01,IBM,"COHN, GARY D",Vice Chairman,Common Stock,D,16803.0,254.555
2025-02-01,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,30385.0,0.0
2025-02-01,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,D,14244.0,254.555
2025-02-01,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,A,29337.0,0.0
2025-02-01,IBM,"ROBINSON, ANNE",Senior Vice President,Common Stock,A,2679.0,0.0
2025-02-01,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,37719.0,0.0
2025-02-01,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,A,2445.0,0.0
2025-02-01,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,18336.0,254.555
2025-02-01,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,906.0,254.555
2025-02-01,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,28249.0,254.555
2025-01-04,IBM,"COHN, GARY D",Vice Chairman,Rst. Stock Unit,D,5114.0,0.0
2025-01-04,IBM,"COHN, GARY D",Vice Chairman,Common Stock,D,2197.0,222.075
2025-01-04,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,5114.0,0.0
2024-12-31,IBM,"VOSER, PETER R.",Director,Promised Fee Share,A,433.0,219.83
2024-12-31,IBM,"ZOLLAR, ALFRED W",Director,Promised Fee Share,A,399.0,219.83
2024-12-31,IBM,"BROWN, MARIANNE CATHERINE",Director,Promised Fee Share,A,399.0,219.83
2024-12-31,IBM,"WADDELL, FREDERICK H",Director,Promised Fee Share,A,421.0,219.83
2024-12-31,IBM,"POLLACK, MARTHA E",Director,Promised Fee Share,A,251.0,219.83
2024-12-31,IBM,"MIEBACH, MICHAEL",Director,Promised Fee Share,A,399.0,219.83
2024-12-31,IBM,"MCNABB, FREDERICK WILLIAM III",Director,Promised Fee Share,A,399.0,219.83
2024-12-31,IBM,"LIVERIS, ANDREW N",Director,Promised Fee Share,A,421.0,219.83
2024-12-31,IBM,"HOWARD, MICHELLE J",Director,Promised Fee Share,A,359.0,219.83
2024-12-31,IBM,"GORSKY, ALEX",Director,Promised Fee Share,A,455.0,219.83
2024-12-31,IBM,"FARR, DAVID N",Director,Promised Fee Share,A,251.0,219.83
2024-12-31,IBM,"BUBERL, THOMAS",Director,Promised Fee Share,A,399.0,219.83
2024-11-13,IBM,"ZOLLAR, ALFRED W",Director,Common Stock,A,936.0,210.6185
2024-11-12,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Phantom Stock Unit,A,1.0,0.0
2024-11-12,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,80.0,0.0
2024-11-12,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Phantom Stock Unit,A,151.0,0.0
2024-11-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,3600.0,215.202
2024-09-30,IBM,"BROWN, MARIANNE CATHERINE",Director,Promised Fee Share,A,396.0,221.08
2024-09-30,IBM,"WADDELL, FREDERICK H",Director,Promised Fee Share,A,419.0,221.08
2024-09-30,IBM,"VOSER, PETER R.",Director,Promised Fee Share,A,430.0,221.08
2024-09-30,IBM,"ZOLLAR, ALFRED W",Director,Promised Fee Share,A,396.0,221.08
2024-09-30,IBM,"POLLACK, MARTHA E",Director,Promised Fee Share,A,250.0,221.08
2024-09-30,IBM,"MIEBACH, MICHAEL",Director,Promised Fee Share,A,396.0,221.08
2024-09-30,IBM,"MCNABB, FREDERICK WILLIAM III",Director,Promised Fee Share,A,396.0,221.08
2024-09-30,IBM,"LIVERIS, ANDREW N",Director,Promised Fee Share,A,419.0,221.08
2024-09-30,IBM,"HOWARD, MICHELLE J",Director,Promised Fee Share,A,357.0,221.08
2024-09-30,IBM,"GORSKY, ALEX",Director,Promised Fee Share,A,453.0,221.08
2024-09-30,IBM,"FARR, DAVID N",Director,Promised Fee Share,A,250.0,221.08
2024-09-30,IBM,"BUBERL, THOMAS",Director,Promised Fee Share,A,396.0,221.08
2024-09-03,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,530.0,0.0
2024-09-01,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,1388.0,200.475
2024-09-01,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,A,2742.0,0.0
2024-09-01,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,978.0,200.475
2024-09-01,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,1915.0,0.0
2024-09-01,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,1915.0,0.0
2024-09-01,IBM,"FEHRING, NICOLAS A.","VP, Controller",Rst. Stock Unit,D,2742.0,0.0
2024-08-09,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Phantom Stock Unit,A,165.0,0.0
2024-08-09,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,88.0,0.0
2024-08-09,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Phantom Stock Unit,A,1.0,0.0
2024-07-01,IBM,"ROBINSON, ANNE",Senior Vice President,Rst. Stock Unit,A,5648.0,0.0
2024-07-01,IBM,"ROBINSON, ANNE",Senior Vice President,Rst. Stock Unit,A,20592.0,0.0
2024-07-01,IBM,"ROBINSON, ANNE",Senior Vice President,Emp. Stock Option (right to buy),A,28240.0,0.0
2024-06-28,IBM,"MCNABB, FREDERICK WILLIAM III",Director,Promised Fee Share,A,506.0,172.95
2024-06-28,IBM,"MIEBACH, MICHAEL",Director,Promised Fee Share,A,506.0,172.95
2024-06-28,IBM,"POLLACK, MARTHA E",Director,Promised Fee Share,A,319.0,172.95
2024-06-28,IBM,"BROWN, MARIANNE CATHERINE",Director,Promised Fee Share,A,506.0,172.95
2024-06-28,IBM,"BUBERL, THOMAS",Director,Promised Fee Share,A,506.0,172.95
2024-06-28,IBM,"FARR, DAVID N",Director,Promised Fee Share,A,319.0,172.95
2024-06-28,IBM,"GORSKY, ALEX",Director,Promised Fee Share,A,579.0,172.95
2024-06-28,IBM,"HOWARD, MICHELLE J",Director,Promised Fee Share,A,456.0,172.95
2024-06-28,IBM,"ZOLLAR, ALFRED W",Director,Promised Fee Share,A,506.0,172.95
2024-06-28,IBM,"WADDELL, FREDERICK H",Director,Promised Fee Share,A,535.0,172.95
2024-06-28,IBM,"VOSER, PETER R.",Director,Promised Fee Share,A,550.0,172.95
2024-06-28,IBM,"LIVERIS, ANDREW N",Director,Promised Fee Share,A,535.0,172.95
2024-06-10,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,610.0,0.0
2024-06-10,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,D,18000.0,0.0
2024-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,5023.0,169.71
2024-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,8604.0,0.0
2024-06-08,IBM,"FEHRING, NICOLAS A.","VP, Controller",Rst. Stock Unit,D,514.0,0.0
2024-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,10091.0,0.0
2024-06-08,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,A,514.0,0.0
2024-06-08,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,D,1852.0,169.71
2024-06-08,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,A,3442.0,0.0
2024-06-08,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,D,1736.0,169.71
2024-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,A,2972.0,0.0
2024-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,D,1518.0,169.71
2024-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Rst. Stock Unit,D,3231.0,0.0
2024-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Rst. Stock Unit,D,2972.0,0.0
2024-06-08,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,A,527.0,0.0
2024-06-08,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,205.0,169.71
2024-06-08,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,261.0,169.71
2024-06-08,IBM,"FEHRING, NICOLAS A.","VP, Controller",Rst. Stock Unit,D,527.0,0.0
2024-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,5163.0,0.0
2024-06-08,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,A,3673.0,0.0
2024-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,5688.0,0.0
2024-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,2851.0,169.71
2024-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,5163.0,0.0
2024-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,2588.0,169.71
2024-06-08,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,5688.0,0.0
2024-06-08,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Rst. Stock Unit,D,3442.0,0.0
2024-06-08,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Rst. Stock Unit,D,3673.0,0.0
2024-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,4293.0,169.71
2024-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,D,10091.0,0.0
2024-06-08,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,D,8604.0,0.0
2024-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,527.0,0.0
2024-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,270.0,169.71
2024-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,1376.0,0.0
2024-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,703.0,169.71
2024-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,527.0,0.0
2024-06-08,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,1376.0,0.0
2024-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,A,3231.0,0.0
2024-06-08,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,D,1651.0,169.71
2024-05-09,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Phantom Stock Unit,A,188.0,0.0
2024-05-09,IBM,"BROWDY, MICHELLE H",Senior Vice President,Phantom Stock Unit,A,48.0,0.0
2024-05-09,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Phantom Stock Unit,A,100.0,0.0
2024-05-09,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Phantom Stock Unit,A,1.0,0.0
2024-04-03,IBM,"BROWN, MARIANNE CATHERINE",Director,Promised Fee Share,A,357.0,190.96
2024-04-03,IBM,"MIEBACH, MICHAEL",Director,Promised Fee Share,A,148.0,190.96
2024-03-28,IBM,"ZOLLAR, ALFRED W",Director,Promised Fee Share,A,459.0,190.96
2024-03-28,IBM,"MIEBACH, MICHAEL",Director,Promised Fee Share,A,311.0,190.96
2024-03-28,IBM,"MCNABB, FREDERICK WILLIAM III",Director,Promised Fee Share,A,459.0,190.96
2024-03-28,IBM,"SWEDISH, JOSEPH",Director,Promised Fee Share,A,459.0,190.96
2024-03-28,IBM,"WADDELL, FREDERICK H",Director,Promised Fee Share,A,485.0,190.96
2024-03-28,IBM,"VOSER, PETER R.",Director,Promised Fee Share,A,498.0,190.96
2024-03-28,IBM,"POLLACK, MARTHA E",Director,Promised Fee Share,A,289.0,190.96
2024-03-28,IBM,"BUBERL, THOMAS",Director,Promised Fee Share,A,459.0,190.96
2024-03-28,IBM,"BROWN, MARIANNE CATHERINE",Director,Promised Fee Share,A,102.0,190.96
2024-03-28,IBM,"FARR, DAVID N",Director,Promised Fee Share,A,289.0,190.96
2024-03-28,IBM,"GORSKY, ALEX",Director,Promised Fee Share,A,524.0,190.96
2024-03-28,IBM,"HOWARD, MICHELLE J",Director,Promised Fee Share,A,413.0,190.96
2024-03-28,IBM,"LIVERIS, ANDREW N",Director,Promised Fee Share,A,485.0,190.96
2024-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,2611.0,0.0
2024-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,1791.0,180.87
2024-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,3574.0,0.0
2024-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,1694.0,180.87
2024-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,3380.0,0.0
2024-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,D,6123.0,0.0
2024-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,D,5163.0,0.0
2024-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Emp. Stock Option (right to buy),A,112269.0,0.0
2024-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Rst. Stock Unit,A,22454.0,0.0
2024-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,141.0,180.87
2024-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,A,540.0,0.0
2024-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,193.0,180.87
2024-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Rst. Stock Unit,A,2527.0,0.0
2024-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,3069.0,180.87
2024-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,D,2583.0,180.87
2024-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,5163.0,0.0
2024-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,1738.0,0.0
2024-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,D,1051.0,0.0
2024-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Emp. Stock Option (right to buy),A,31997.0,0.0
2024-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Rst. Stock Unit,A,6400.0,0.0
2024-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,888.0,180.87
2024-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,D,537.0,180.87
2024-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,1051.0,0.0
2024-02-21,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Rst. Stock Unit,D,3115.0,0.0
2024-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman and CEO",Common Stock,A,6123.0,0.0
2024-02-21,IBM,"LAMOREAUX, NICKLE JACLYN",Senior Vice President,Common Stock,A,1738.0,0.0
2024-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Emp. Stock Option (right to buy),A,8421.0,0.0
2024-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Rst. Stock Unit,D,394.0,0.0
2024-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Rst. Stock Unit,D,540.0,0.0
2024-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,2722.0,0.0
2024-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,D,1506.0,180.87
2024-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,A,11508.0,0.0
2024-02-21,IBM,"COHN, GARY D",Vice Chairman,Emp. Stock Option (right to buy),A,44908.0,0.0
2024-02-21,IBM,"COHN, GARY D",Vice Chairman,Rst. Stock Unit,D,2722.0,0.0
2024-02-21,IBM,"COHN, GARY D",Vice Chairman,Rst. Stock Unit,D,2611.0,0.0
2024-02-21,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,A,1877.0,0.0
2024-02-21,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,D,959.0,180.87
2024-02-21,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,A,2269.0,0.0
2024-02-21,IBM,"BROWDY, MICHELLE H",Senior Vice President,Common Stock,D,1159.0,180.87
2024-02-21,IBM,"BROWDY, MICHELLE H",Senior Vice President,Rst. Stock Unit,A,7073.0,0.0
2024-02-21,IBM,"BROWDY, MICHELLE H",Senior Vice President,Emp. Stock Option (right to buy),A,35365.0,0.0
2024-02-21,IBM,"BROWDY, MICHELLE H",Senior Vice President,Rst. Stock Unit,D,1877.0,0.0
2024-02-21,IBM,"BROWDY, MICHELLE H",Senior Vice President,Rst. Stock Unit,D,2269.0,0.0
