Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2023-01-03,129.28636169433594,129.6060299526579,128.30905790802694,128.87535168403934,3338600
2023-01-04,130.24542236328125,131.1770415372325,129.12197710683793,129.761341634621,3869200
2023-01-05,128.8844757080078,130.15404796932455,127.87977221914099,130.09924849480348,2866600
2023-01-06,131.25010681152344,131.75245866136987,129.31378397589395,130.04447630868904,3574000
2023-01-09,131.11309814453125,132.86675124805282,130.97608550308357,131.59717881669522,3987700
2023-01-10,132.25479125976562,132.30046213706677,130.5193954798877,131.16788848925574,2152100
2023-01-11,132.67494201660156,132.92155362714587,131.02175923938952,132.43747294443062,3268700
2023-01-12,132.9398193359375,133.95365154142667,131.99905775046867,132.32786857216234,2715900
2023-01-13,133.25033569335938,133.4421477794361,131.53321126544813,131.57888213706576,2455700
2023-01-17,132.6110076904297,134.42858883125984,132.44659531220637,133.73443885057245,2986500
2023-01-18,128.24514770507812,132.1451929830143,128.08073531596796,131.88945276599543,6445600
2023-01-19,128.4369659423828,129.90747938811728,127.64234542527122,127.87068593587098,4833900
2023-01-20,128.96669006347656,129.56951222758198,128.33646815889324,129.39597124669143,7153300
2023-01-23,129.5695037841797,130.60160706424293,128.8388115665277,129.14935122957147,5898400
2023-01-24,129.2315673828125,130.38239824499666,127.87065327004927,129.012355531389,4407600
2023-01-25,128.56480407714844,128.81141566952988,127.2861031107174,128.29993528295745,7347500
2023-01-26,122.80149841308594,126.29054738304323,121.45885537352602,125.6146545942212,17548500
2023-01-27,122.74668884277344,123.75139237374007,122.18040899993481,122.79235971905278,8143100
2023-01-30,123.57785034179688,124.31767114604939,122.372206115019,122.68275970896744,5375700
2023-01-31,123.05723571777344,123.8975269307619,122.17127362582784,123.76052823068599,7206400
2023-02-01,123.38603973388672,124.02539019366007,121.29444738617218,122.83803102699304,5428900
2023-02-02,124.57340240478516,124.87481343989226,123.16683151107893,124.18066356124152,6107800
2023-02-03,125.07575988769531,125.08488848792112,123.78791647935141,124.53687980169414,3755700
2023-02-06,124.38158416748047,124.50946817919996,123.25815322799747,124.06191594856047,4841300
2023-02-07,124.07109069824219,124.58257118820225,122.80151807609195,123.91582083070416,3737600
2023-02-08,124.19893646240234,124.89310036560467,123.44998701664684,123.95233880533397,4593700
2023-02-09,123.66268157958984,125.49334760713087,123.28360006696258,124.80916684656623,3918800
2023-02-10,125.37315368652344,125.53033071898861,123.43152849398685,123.6904099719274,5049600
2023-02-13,126.99117279052734,127.02814981334542,125.60430165313382,125.74298312368006,4403000
2023-02-14,125.75225067138672,126.88949540433552,124.86466085463023,126.71382276552298,3202200
2023-02-15,126.1128158569336,126.15904771866963,124.8831358042525,125.00332171518606,2506700
2023-02-16,124.81843566894531,125.71528037239074,124.43935407099694,125.34545361360328,2965500
2023-02-17,124.83689880371094,125.35466177468096,123.79211802501462,124.35611285581757,3466200
2023-02-21,121.77653503417969,124.2544046366209,121.73030317574975,123.89381871363932,4257200
2023-02-22,121.09235382080078,122.03543022843881,120.46363151304743,121.95220723071779,3200200
2023-02-23,120.92591857910156,121.76729050661729,119.14148437809047,121.58237716522507,3725600
2023-02-24,120.72252655029297,120.8149761691194,119.47433677827254,119.84416346954617,3015800
2023-02-27,120.64854431152344,121.92445612311545,120.31569468502502,121.508397616988,2761300
2023-02-28,119.54829406738281,120.75949259534904,119.40035776113189,120.70402000750062,5143100
2023-03-01,118.52201843261719,119.70548076216114,118.1059528282047,119.17846291910695,3760700
2023-03-02,119.2061996459961,119.4743359871804,118.07821695869322,118.70693220528416,3340100
2023-03-03,119.86265563964844,120.1122964085746,119.0582748495329,119.5945334122711,2860300
2023-03-06,120.37117767333984,120.99064512185782,119.81642354524254,119.8626554072479,3131200
2023-03-07,118.5774917602539,120.58383047368767,118.52201916758501,120.45438972146562,3530400
2023-03-08,118.39256286621094,119.0305258140838,117.93027251070679,118.79012580011313,2778800
2023-03-09,116.6451187133789,118.83637072487114,116.47869388493719,118.62372108819059,5478300
2023-03-10,115.98865509033203,117.68988737983406,115.6927895252871,116.6081295689502,5990900
2023-03-13,116.1088638305664,118.52202039249015,115.43391671215429,115.7112937863493,8188400
2023-03-14,115.2490005493164,117.0889144048096,113.9083541287877,116.95022587110086,8114800
2023-03-15,113.98231506347656,114.0470354345733,112.53072355117142,113.71418579636398,5989300
2023-03-16,115.29522705078125,115.40617929017573,112.72489346374064,113.68645837651698,6438700
2023-03-17,114.36141204833984,115.12880882269722,113.65872859985141,114.7219980295659,37400200
2023-03-20,116.44171905517578,116.64512797876087,114.82370250446654,114.93464769624578,4588300
2023-03-21,117.02418518066406,117.56044370832561,116.18282036670455,117.32929852095336,3856300
2023-03-22,114.69425201416016,117.62517148154414,114.65726793537398,117.4217625752161,3549000
2023-03-23,114.06553649902344,115.50788029813705,113.35360532864637,114.47234725667575,4651900
2023-03-24,115.84073638916016,115.94244084772244,113.61249313846731,114.05629505346567,3812300
2023-03-27,119.55754852294922,120.43589751668927,116.93174227143723,116.93174227143723,6524100
2023-03-28,119.58528137207031,119.88115401001171,119.08601393052406,119.43734505309962,2888900
